SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
620,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
621,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
622,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
623,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
624,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
625,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
626,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
627,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
628,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
629,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
630,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
631,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
632,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
633,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
634,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
635,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
636,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
637,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
638,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
639,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
640,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
641,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
642,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
643,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
644,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
645,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
646,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
647,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
648,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
649,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
650,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
651,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
652,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
653,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
654,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
655,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
656,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
657,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
658,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
659,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
660,1,1,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
661,1,1,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
662,0,1,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
663,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
664,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
665,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
666,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
667,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
668,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
669,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
670,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
671,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
672,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
673,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
674,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
675,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
676,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
677,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
678,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
679,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
680,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
681,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
682,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
683,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
684,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
685,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
686,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
687,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
688,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
689,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
690,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
691,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
692,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
693,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
694,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
695,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
696,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
697,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
698,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
699,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
700,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
701,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
702,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
703,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
704,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
705,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
706,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
707,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
708,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
709,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
710,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
711,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
712,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
713,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
714,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
715,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
716,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
717,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
718,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
719,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
720,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
721,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
722,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
723,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
724,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
725,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
726,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
727,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
728,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
729,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
730,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
731,0,1,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
732,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
733,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
734,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
735,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
736,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
737,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
738,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
739,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
740,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
741,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
742,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
743,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
744,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
745,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
746,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
747,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
748,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
