SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
     1589,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1590,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1591,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1592,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1593,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1594,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1595,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1596,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1597,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1598,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1599,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1600,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1601,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1602,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1603,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1604,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1605,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
     1606,1,0,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
     1607,0,0,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
     1608,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
     1609,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1610,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
     1611,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
     1612,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
     1613,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1614,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1615,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1616,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1617,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1618,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1619,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1620,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
     1621,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
     1622,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
     1623,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1624,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
     1625,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
     1626,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1627,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1628,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1629,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1630,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1631,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1632,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1633,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1634,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1635,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1636,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1637,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1638,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1639,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1640,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1641,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1642,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1643,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1644,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1645,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1646,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1647,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1648,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1649,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1650,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1651,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1652,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1653,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1654,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1655,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1656,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1657,1,0,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
     1658,0,0,0,5,6,ST_EXIT1_DR,ST_PAUSE_DR
     1659,1,0,0,6,7,ST_PAUSE_DR,ST_EXIT2_DR
     1660,0,0,0,7,4,ST_EXIT2_DR,ST_SHIFT_DR
     1661,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
     1662,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
     1663,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
     1664,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
     1665,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1666,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
     1667,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
     1668,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
     1669,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1670,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1671,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1672,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1673,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1674,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1675,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
     1676,1,0,0,11,12,ST_SHIFT_IR,ST_EXIT1_IR
     1677,1,0,0,12,15,ST_EXIT1_IR,ST_UPDATE_IR
     1678,0,0,0,15,1,ST_UPDATE_IR,ST_RUN_TEST_IDLE
     1679,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
     1680,0,0,0,2,3,ST_SELECT_DR_SCAN,ST_CAPTURE_DR
     1681,0,0,0,3,4,ST_CAPTURE_DR,ST_SHIFT_DR
     1682,0,0,1,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1683,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1684,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1685,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
     1686,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
