SPL,TMS,TDI,TDO,CST,FST,HCST,HFST
1968,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1969,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1970,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1971,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1972,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1973,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1974,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1975,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1976,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1977,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1978,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1979,0,1,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1980,0,0,0,4,4,ST_SHIFT_DR,ST_SHIFT_DR
1981,1,1,0,4,5,ST_SHIFT_DR,ST_EXIT1_DR
1982,1,1,0,5,8,ST_EXIT1_DR,ST_UPDATE_DR
1983,0,1,0,8,1,ST_UPDATE_DR,ST_RUN_TEST_IDLE
1984,0,0,0,1,1,ST_RUN_TEST_IDLE,ST_RUN_TEST_IDLE
1985,1,0,0,1,2,ST_RUN_TEST_IDLE,ST_SELECT_DR_SCAN
1986,1,0,0,2,9,ST_SELECT_DR_SCAN,ST_SELECT_IR_SCAN
1987,0,0,0,9,10,ST_SELECT_IR_SCAN,ST_CAPTURE_IR
1988,0,0,0,10,11,ST_CAPTURE_IR,ST_SHIFT_IR
1989,0,0,1,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1990,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1991,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1992,0,0,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1993,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1994,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
1995,0,1,0,11,11,ST_SHIFT_IR,ST_SHIFT_IR
