Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
      713	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
      714	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      715	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      716	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
      717	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
      718	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      719	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
      720	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      721	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      722	0001011     	0  	0  	0  	1   	0  	1  	1   	333.375 ns
      723	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      724	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      725	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      726	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      727	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
      728	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
      729	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      730	0001101     	0  	0  	0  	1   	1  	0  	1   	250.000 ns
      731	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      732	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      733	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      734	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.625 ns
      735	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      736	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      737	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      738	0001101     	0  	0  	0  	1   	1  	0  	1   	250.000 ns
      739	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      740	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      741	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      742	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      743	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      744	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      745	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
      746	0001001     	0  	0  	0  	1   	0  	0  	1   	375.000 ns
      747	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      748	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      749	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.500 ns
      750	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      751	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
      752	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
      753	0011001     	0  	0  	1  	1   	0  	0  	1   	375.000 ns
      754	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      755	0011001     	0  	0  	1  	1   	0  	0  	1   	<32,250 us
      756	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
      757	0011101     	0  	0  	1  	1   	1  	0  	1   	270.875 ns
      758	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
      759	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
