Sample   	JTAG        	CLK	TCK	TMS	TRST	TDI	TDO	HALT	 Timestamp
     1756	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1757	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1758	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1759	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1760	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1761	0001001     	0  	0  	0  	1   	0  	0  	1   	249.875 ns
     1762	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1763	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1764	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1765	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1766	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1767	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1768	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1769	0011001     	0  	0  	1  	1   	0  	0  	1   	375.000 ns
     1770	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.750 ns
     1771	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1772	0001001     	0  	0  	0  	1   	0  	0  	1   	<39,375 us
     1773	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1774	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1775	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1776	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1777	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
     1778	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1779	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
     1780	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1781	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1782	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1783	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1784	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
     1785	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
     1786	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1787	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
     1788	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1789	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1790	0001001     	0  	0  	0  	1   	0  	0  	1   	333.500 ns
     1791	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1792	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1793	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1794	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.500 ns
     1795	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1796	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1797	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1798	0001011     	0  	0  	0  	1   	0  	1  	1   	125.000 ns
     1799	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1800	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1801	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1802	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1803	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1804	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1805	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1806	0001011     	0  	0  	0  	1   	0  	1  	1   	125.000 ns
     1807	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1808	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1809	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1810	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1811	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1812	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1813	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1814	0001001     	0  	0  	0  	1   	0  	0  	1   	125.000 ns
     1815	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1816	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1817	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
     1818	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1819	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.625 ns
     1820	0001011     	0  	0  	0  	1   	0  	1  	1   	 41.750 ns
     1821	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1822	0011101     	0  	0  	1  	1   	1  	0  	1   	271.000 ns
     1823	0011101     	0  	0  	1  	1   	1  	0  	1   	 41.625 ns
     1824	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1825	0001001     	0  	0  	0  	1   	0  	0  	1   	270.875 ns
     1826	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.500 ns
     1827	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.750 ns
     1828	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1829	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1830	0001011     	0  	0  	0  	1   	0  	1  	1   	270.875 ns
     1831	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1832	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.750 ns
     1833	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.500 ns
     1834	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.875 ns
     1835	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1836	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1837	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
     1838	0011001     	0  	0  	1  	1   	0  	0  	1   	 41.625 ns
     1839	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1840	0011001     	0  	0  	1  	1   	0  	0  	1   	270.875 ns
     1841	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1842	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1843	0001011     	0  	0  	0  	1   	0  	1  	1   	333.375 ns
     1844	0001111     	0  	0  	0  	1   	1  	1  	1   	 41.625 ns
     1845	0001101     	0  	0  	0  	1   	1  	0  	1   	 41.625 ns
     1846	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.625 ns
     1847	0001001     	0  	0  	0  	1   	0  	0  	1   	 41.750 ns
